"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"399","40.435559125","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=474, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"400","40.538176266","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=475, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"401","40.640808857","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=476, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"402","40.743618958","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=477, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"403","40.745090733","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=478, FN=0, Flags=.p....F."
"404","40.846313924","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=479, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"405","40.949264838","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=480, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"406","41.154347256","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=482, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"407","41.359638897","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=484, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"408","41.462442142","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=485, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"409","41.565114808","Sagemcom_7d:5b:41","Broadcast","802.11","432","-86dBm","Beacon frame, SN=486, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"410","41.669242464","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-96dBm","Data, SN=489, FN=0, Flags=.p....F."
"411","41.770465398","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=490, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"412","41.873199384","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=491, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"413","41.976042771","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=492, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"414","42.181134116","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=494, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"415","42.283694872","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=495, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"416","42.386257289","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=496, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"417","42.409394016","ee:36:90:ce:8b:f1","Broadcast","802.11","117","-88dBm","Probe Request, SN=3613, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"418","42.412887525","Sagemcom_7d:5b:41","ee:36:90:ce:8b:f1","802.11","468","-84dBm","Probe Response, SN=497, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"419","42.489045170","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=498, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"420","42.550688447","ee:36:90:ce:8b:f1","Broadcast","802.11","117","-92dBm","Probe Request, SN=3619, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"421","42.564827213","ee:36:90:ce:8b:f1","Broadcast","802.11","117","-90dBm","Probe Request, SN=3620, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"422","42.568145848","Sagemcom_7d:5b:41","ee:36:90:ce:8b:f1","802.11","398","-86dBm","Probe Response, SN=499, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"423","42.571696432","Sagemcom_7d:5b:41","ee:36:90:ce:8b:f1","802.11","398","-86dBm","Probe Response, SN=499, FN=0, Flags=....R..., BI=100, SSID=Optus_7D5B3F"
"424","42.578749994","Sagemcom_7d:5b:41","ee:36:90:ce:8b:f1","802.11","398","-86dBm","Probe Response, SN=499, FN=0, Flags=....R..., BI=100, SSID=Optus_7D5B3F"
"425","42.582357112","Sagemcom_7d:5b:41","ee:36:90:ce:8b:f1","802.11","398","-86dBm","Probe Response, SN=499, FN=0, Flags=....R..., BI=100, SSID=Optus_7D5B3F"
"426","42.586019202","Sagemcom_7d:5b:41","ee:36:90:ce:8b:f1","802.11","398","-86dBm","Probe Response, SN=499, FN=0, Flags=....R..., BI=100, SSID=Optus_7D5B3F"
"427","42.589535129","Sagemcom_7d:5b:41","ee:36:90:ce:8b:f1","802.11","398","-86dBm","Probe Response, SN=499, FN=0, Flags=....R..., BI=100, SSID=Optus_7D5B3F"
"428","42.593648265","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=500, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"429","42.610979006","ee:36:90:ce:8b:f1","Broadcast","802.11","117","-88dBm","Probe Request, SN=3621, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"430","42.627127687","ee:36:90:ce:8b:f1","Broadcast","802.11","117","-90dBm","Probe Request, SN=3622, FN=0, Flags=........, SSID=Wildcard (Broadcast)"
"431","42.695754654","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-84dBm","Data, SN=502, FN=0, Flags=.p....F."
"432","43.104904744","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=507, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"433","43.310014967","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=509, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"434","43.412498287","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=510, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"435","43.515383901","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=511, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"436","43.617867632","Sagemcom_7d:5b:41","Broadcast","802.11","432","-84dBm","Beacon frame, SN=512, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"437","43.823215653","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=516, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"438","43.925672330","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=517, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"439","44.028361740","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=518, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"440","44.029466040","Sagemcom_7d:5b:3f","Broadcast","802.11","120","-86dBm","Data, SN=519, FN=0, Flags=.p....F."
"441","44.131375282","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=520, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"442","44.336312487","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=522, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"443","44.438684937","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=523, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"444","44.541321886","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=524, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"445","44.748064503","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=527, FN=0, Flags=.p....F."
"446","44.849270148","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=528, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"447","44.951732745","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=529, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"448","45.056852259","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=530, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"449","45.057962740","Sagemcom_7d:5b:3f","Broadcast","802.11","120","-86dBm","Data, SN=531, FN=0, Flags=.p....F."
"450","45.159865513","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=532, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"451","45.259647744","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=533, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"452","45.362243500","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=534, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"453","45.464642389","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=535, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"454","45.567349369","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=536, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"455","45.772500271","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=539, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"456","45.773993885","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=540, FN=0, Flags=.p....F."
"457","45.977533470","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=542, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"458","46.080263586","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=543, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"459","46.285455718","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=545, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"460","46.388050143","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=546, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"461","46.490565497","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=547, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"462","46.593159353","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=548, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"463","46.695673859","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=549, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"464","46.697135907","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-84dBm","Data, SN=550, FN=0, Flags=.p....F."
"465","46.798318227","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=551, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"466","47.003405549","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=553, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"467","47.108222650","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=554, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"468","47.210777804","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=555, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"469","47.311063628","Sagemcom_7d:5b:41","Broadcast","802.11","290","-92dBm","Beacon frame, SN=556, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"470","47.413594243","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=557, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"471","47.516110383","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=558, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"472","47.618561593","Sagemcom_7d:5b:41","Broadcast","802.11","432","-84dBm","Beacon frame, SN=559, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"473","47.721292623","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=561, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"474","47.722697304","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-86dBm","Data, SN=562, FN=0, Flags=.p....F."
"475","47.823754764","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=563, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"476","47.926303823","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=564, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"477","48.028864768","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=565, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
