"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"867","76.082108165","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1963, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"868","76.184682032","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1964, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"869","76.287078661","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1965, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"870","76.389685007","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1966, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"871","76.491923949","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1967, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"872","76.493305112","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-84dBm","Data, SN=1968, FN=0, Flags=.p....F."
"873","76.594266536","Sagemcom_7d:5b:41","Broadcast","802.11","432","-84dBm","Beacon frame, SN=1969, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"874","76.696655292","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1971, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"875","76.798880022","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1972, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"876","76.901436157","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1973, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"877","77.003634111","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1974, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"878","77.024678032","","52:77:57:85:d7:db (52:77:57:85:d7:db) (RA)","802.11","36","-84dBm","Acknowledgement, Flags=........"
"879","77.106410033","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1975, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"880","77.208607910","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1976, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"881","77.311022508","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1977, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
